date,concentration,piperine.peak.area
3/26/22,0.1,96268
3/21/22,0.2,274104
3/26/22,0.2,218356
3/21/22,0.3,594507
3/26/22,0.3,610690
3/30/22,0.3,260894
4/2/22,0.3,772762
4/2/22,0.3,364198
3/21/22,0.4,2096868
3/26/22,0.4,560138
3/30/22,0.4,198376
4/2/22,0.4,204918
3/21/22,0.5,4265527
3/26/22,0.5,4862821
3/30/22,0.5,724833
4/2/22,0.5,2041986
4/2/22,0.5,506166
3/21/22,0.6,5651822
3/26/22,0.6,5471625
3/30/22,0.6,1270048
4/2/22,0.6,1100830
4/2/22,0.6,812587
3/21/22,0.7,5081082
3/26/22,0.7,6834600
3/30/22,0.7,864057
4/2/22,0.7,929944
4/2/22,0.7,713501
3/21/22,1,4658205
3/26/22,1,13809512
3/30/22,1,1574109
4/2/22,1,2911006
4/2/22,1.5,8031348
4/2/22,1.5,4668139
