sample,AA,Tetrahydrowisanidine,L,U,A,D,Unidentified,Dihydrowisanidine,BB,"Desmethoxywisanidine, Octadecadienoylpyrrolidine, and P coeluted",Piperine,Q coeluted with unknown,I,G,Octadecenoylpyrrolidine,Unidentified,V,N-isobutyleicosatrienamide + N-isobutyleicosadienamide coeluted,"Methoxy tricholein A, Methoxy tricholein B, and Methoxy dihydrotricholein coeluted",Iso-wisanidine,O,C,K,J,Unidentified,E,"B, R, F coeluted",N,W,X,DD
retention.time,18.21,18.42,18.85,19.4,20.21,20.31,20.53,20.65,21.76,21.95,22.19,22.47,22.6,22.73,22.87,23.38,23.53,23.59,23.7,23.89,24.4,24.56,25.01,25.11,25.25,25.39,25.5,28.85,29.36,30.65,30.84
117-F,0,9153.5,85030.17,0,0,0,0,1770238.91,0,1068032.64,743344.74,0,0,0,149585.32,66117.23,318376.41,1333222.57,1787200.33,365291.98,0,118345.83,148189.61,93802.42,379524.75,250798.87,334623.18,52553.56,0,0,0
117-S,0,56188.57,18187.75,57666.46,0,12843.45,9017.41,13601685.02,0,3324687.14,1993971.14,0,95583.36,115826.38,1842857.57,2546214.38,1632505.97,6204120.58,11003677.49,2587412.21,354249.56,819766.41,796995.53,3367607.28,3013380.57,2457085.82,2086368.83,410271.21,454015.49,334684.56,441908.16
118-F,0,0,93752.47,0,0,0,0,1097626.18,0,891383.85,678083.84,0,0,0,347371.51,261978.85,292344.57,1646924.55,1825417.68,246476.78,0,275204.5,212889.65,725176.18,367460.91,299978.59,339792.92,257566.56,0,0,0
118-S,0,45898.86,28805.39,40866.8,0,16382.09,12516.54,9748111.36,0,2916787.81,1112104.9,32227.77,145709.77,235554.83,3002781.37,2037845.67,1908696.46,8322671.02,13181520.5,1679630.88,496765.36,1022352.46,1719487.65,4334824.12,4036239.85,2902697.79,2421488.14,258111.99,573678.19,304030.02,436404.66
119-F,0,35852.57,136871.17,0,0,0,0,2299052.56,0,1461784.52,1070896.37,61463.13,202048.99,51214.94,348732.61,762331.88,365663.7,2436427.69,2689927.06,151621.58,181669.53,159162.46,303345.75,1134244.09,762327.21,615598.57,453222.12,280327.64,0,0,0
119-S,0,24743.18,0,0,0,11038.33,0,1584283.49,0,1332064.02,853922.43,27460.63,132573.82,43498.25,390250.3,662689.46,296905.48,1695300.97,1804758.01,317865.31,118028.94,158079.82,331341.37,1001922.67,550681.84,465506.42,333324.93,150111.88,0,0,0
120-F,0,18506,130888.9,0,0,0,0,1345447.62,0,867164.62,934819.44,22987.11,34486.53,33314,229250.06,298421.26,256781.1,2495104,1997907.23,177076.29,79468.44,104556.3,386523.16,1232887.15,654437.63,521192.16,660363.15,100906.85,0,0,0
120-S,0,55545.96,45929.51,40728.82,0,16440.36,11061.32,5827232.6,0,3161735.91,1118717.58,82556.34,295339.37,191228.28,1725555.19,620450.78,1488683.9,7657138.9,10700000,1079451.37,459665.67,313008.12,1738414.53,3961164.61,2508065.27,2806326.97,1719062.3,239666.54,675589.94,81432.21,452836.84
121-F,45546.72,83994.82,933083.62,16447.28,137923.48,33706.87,26407.6,5148748.16,0,4305418.21,2355114.68,459062.2,975153.48,150857.39,1169288.39,3074948.64,918626.74,5630857.22,7306349.76,1692493.82,546213.79,555536.65,940429.4,3911878,3406492.04,2815310.46,3153985.49,511460.88,66357.99,396245.67,34180.92
