assay.date,extraction.date,partition.date,gcms.date,fruit,colony,sample,tissue,prop.seeds.removed,sample.mass
11/22/21,2/23/22,3/18/22,3/22/22,117,1,117-F,Fruit pulp,0.7,10.53
11/22/21,2/23/22,3/18/22,3/22/22,117,1,117-S,Seed,0.7,9.8
11/22/21,2/23/22,3/18/22,3/22/22,118,2,118-F,Fruit pulp,0.4,9.83
11/22/21,2/23/22,3/18/22,3/22/22,118,2,118-S,Seed,0.4,9.91
11/22/21,2/23/22,3/18/22,3/22/22,119,3,119-F,Fruit pulp,0.3,10.19
11/22/21,2/23/22,3/18/22,3/22/22,119,3,119-S,Seed,0.3,10.08
11/22/21,2/23/22,3/18/22,3/22/22,120,4,120-F,Fruit pulp,0.3,10.23
11/22/21,2/23/22,3/18/22,3/22/22,120,4,120-S,Seed,0.3,10.18
11/22/21,2/17/22,2/18/22,3/25/22,121,5,121-F,Fruit pulp,0.2,10.31
11/22/21,2/17/22,2/18/22,3/25/22,122,6,122-F,Fruit pulp,1,10.13
11/22/21,2/17/22,2/18/22,3/25/22,122,6,122-S,Seed,1,10.05
11/22/21,2/17/22,2/18/22,3/26/22,123,7,123-F,Fruit pulp,0,10.21
11/22/21,2/17/22,2/18/22,3/25/22,123,7,123-S,Seed,0,9.77
11/22/21,2/17/22,2/18/22,3/25/22,124,8,124-F,Fruit pulp,0.3,9.73
11/22/21,2/17/22,2/18/22,3/25/22,124,8,124-S,Seed,0.3,10.07
11/22/21,2/17/22,2/18/22,3/25/22,125,9,125-F,Fruit pulp,0.3,10.25
11/22/21,2/17/22,2/18/22,3/25/22,125,9,125-S,Seed,0.3,9.62
11/22/21,2/17/22,2/18/22,3/25/22,126,10,126-F,Fruit pulp,0.1,9.73
11/22/21,2/17/22,2/18/22,3/25/22,126,10,126-S,Seed,0.1,9.93
11/22/21,2/17/22,2/18/22,3/25/22,127,11,127-F,Fruit pulp,0.4,9.72
11/22/21,2/17/22,2/18/22,3/26/22,128,12,128-F,Fruit pulp,1,10.01
11/22/21,2/17/22,2/18/22,3/25/22,128,12,128-S,Seed,1,10.22
11/22/21,2/17/22,2/18/22,3/25/22,129,13,129-F,Fruit pulp,0.6,9.61
11/22/21,2/17/22,2/18/22,3/25/22,129,13,129-S,Seed,0.6,9.9
11/22/21,2/17/22,2/18/22,3/25/22,130,14,130-F,Fruit pulp,1,10.02
11/22/21,2/17/22,2/18/22,3/25/22,130,14,130-S,Seed,1,10.32
11/22/21,2/17/22,2/18/22,3/25/22,131,15,131-F,Fruit pulp,1,9.85
11/22/21,2/17/22,2/18/22,3/25/22,131,15,131-S,Seed,1,10.12
11/22/21,2/17/22,2/18/22,3/25/22,132,16,132-F,Fruit pulp,0.5,10.38
11/22/21,2/17/22,2/18/22,3/25/22,132,16,132-S,Seed,0.5,10.4
11/22/21,2/17/22,2/18/22,3/26/22,133,17,133-F,Fruit pulp,0.5,10.2
11/22/21,2/17/22,2/18/22,3/25/22,133,17,133-S,Seed,0.5,10.55
11/22/21,2/23/22,3/18/22,3/22/22,134,18,134-F,Fruit pulp,0.5,10.39
11/22/21,2/23/22,3/18/22,3/22/22,134,18,134-S,Seed,0.5,10.34
11/22/21,2/23/22,3/18/22,3/22/22,135,19,135-F,Fruit pulp,0.6,10.1
11/22/21,2/23/22,3/18/22,3/22/22,135,19,135-S,Seed,0.6,10.44
11/22/21,2/23/22,3/18/22,3/22/22,136,20,136-F,Fruit pulp,0.8,10.25
11/22/21,2/23/22,3/18/22,3/22/22,136,20,136-S,Seed,0.8,9.98
11/22/21,2/23/22,3/18/22,3/22/22,137,21,137-F,Fruit pulp,0.5,10.16
11/22/21,2/23/22,3/18/22,3/22/22,138,22,138-F,Fruit pulp,0.5,9.95
11/22/21,2/23/22,3/18/22,3/22/22,138,22,138-S,Seed,0.5,9.6
