date,site,hours,station,treatment,e.ruidum,pheidole.sp.1,pheidole.subarmata,pheidole.simonsi,all.ants,start.fruit.mass,end.fruit.mass
11/19/21,STR 100-200,4,1,2% amides,0.25,0,0,0,0.25,0.8606,0.8352
11/19/21,STR 100-200,4,2,2% amides,0.25,0.25,0,0,0.5,0.6771,0.6642
11/19/21,STR 100-200,4,3,2% amides,0,0,0,0,0,0.4617,0.4205
11/19/21,STR 100-200,4,4,2% amides,0,0,0.25,0,0.25,0.769,0.725
11/19/21,STR 100-200,4,5,2% amides,0,0.5,0.75,0,1.25,0.635,0.6079
11/19/21,STR 100-200,4,6,2% amides,0,4.25,0,0,4.25,0.4583,0.3793
11/19/21,STR 100-200,4,7,2% amides,0,0,0,0,0,0.2804,0.2451
11/19/21,STR 100-200,4,8,2% amides,0,0,0.25,0,0.25,0.3992,0.3768
11/19/21,STR 100-200,4,9,2% amides,0,0,0.25,0,0.25,0.706,0.6597
11/19/21,STR 100-200,4,10,2% amides,0,0,0,0,0,0.7933,0.7542
11/22/21,SURA 100-200,6,11,2% amides,0,0,0.2,0,0.2,0.5412,0.5261
11/22/21,SURA 100-200,6,12,2% amides,0,0,0,0,0,0.5745,0.548
11/22/21,SURA 100-200,6,13,2% amides,0.2,0,0,0,0.2,0.437,0.4177
11/22/21,SURA 100-200,6,14,2% amides,0,0.2,0,0,0.2,0.4201,0.3953
11/22/21,SURA 100-200,6,15,2% amides,0,0,0,0,0,0.4969,0.5195
11/22/21,SURA 100-200,6,16,2% amides,0,0,0,0,0,0.4582,0.4223
11/22/21,SURA 100-200,6,17,2% amides,0,0,0,0,0,0.6635,0.621
11/22/21,SURA 100-200,6,18,2% amides,0,0,0,0,0,0.5258,0.5001
11/22/21,SURA 100-200,6,19,2% amides,0.2,0,0,0,0.2,0.3455,0.3306
11/22/21,SURA 100-200,6,20,2% amides,0,0,0,0,0,0.4294,0.4246
11/19/21,STR 100-200,4,1,Ethanol,0.5,0,0,0,0.5,0.8213,0.7236
11/19/21,STR 100-200,4,2,Ethanol,2.25,0,0,0,2.25,0.5453,0.4302
11/19/21,STR 100-200,4,3,Ethanol,0.5,0,0,0,0.5,0.3781,0.3453
11/19/21,STR 100-200,4,4,Ethanol,0,2.75,2.25,0,5,0.63,0.5964
11/19/21,STR 100-200,4,5,Ethanol,1.75,0,2,0.75,4.5,0.524,0.4621
