date,site,station,treatment,a.araneoides,e.ruidum,pheidole.sp.1,pheidole.subarmata,pheidole.simonsi,solenopsis.sp.1,solenopsis.sp.2,unidentified,all.ants,start.fruit.mass,end.fruit.mass
11/5/21,STR 0-150,1,1% piperine + 1% piplartine,0,0.25,0,0,0,0,0,0,0.25,0.7712,0.57
11/5/21,STR 0-150,2,1% piperine + 1% piplartine,0,0.25,1.25,0,0,0,0,0,1.5,0.4195,0.3626
11/5/21,STR 0-150,3,1% piperine + 1% piplartine,0,0,0,2.25,0,0,0,0,2.25,0.5314,0.4791
11/5/21,STR 0-150,4,1% piperine + 1% piplartine,0,1,0,7.25,0,0,0,0,8.25,0.7099,0.4273
11/5/21,STR 0-150,5,1% piperine + 1% piplartine,0.25,0,0,0,0,0,0.25,0,0.5,0.641,0.4359
11/5/21,STR 0-150,6,1% piperine + 1% piplartine,0,1.5,2.5,0,0,2.75,0,0,6.75,0.6596,0.5688
11/5/21,STR 0-150,7,1% piperine + 1% piplartine,0,2,0,3,0,0,0,0.25,5.25,0.45,0.238
11/5/21,STR 0-150,8,1% piperine + 1% piplartine,0,0.25,6.5,0,0,0,0,0,6.75,0.5581,0.41
11/5/21,STR 0-150,9,1% piperine + 1% piplartine,0,0,1,0,0,0,0,0,1,0.5552,0.524
11/5/21,STR 0-150,10,1% piperine + 1% piplartine,0,2.5,0,0,0,0,0,0,2.5,0.5833,0.2016
11/5/21,STR 0-150,11,1% piperine + 1% piplartine,0,0.25,0,0,0,0,0,3.5,3.75,0.3826,0.2552
11/5/21,STR 0-150,12,1% piperine + 1% piplartine,0,2.75,0,0,0,0,0,0,2.75,0.4321,0.172
11/5/21,STR 0-150,13,1% piperine + 1% piplartine,0,2.5,0,0.5,0,0,0,0,3,0.586,0.3449
11/5/21,STR 0-150,14,1% piperine + 1% piplartine,0,0.75,0,1,0,0,0,0,1.75,0.5548,0.458
11/5/21,STR 0-150,15,1% piperine + 1% piplartine,0,0,0,2.75,0,0,0,0,2.75,0.5512,0.468
11/5/21,STR 0-150,16,1% piperine + 1% piplartine,0,0.75,0,0,0,0,0,0,0.75,0.1778,0.1553
11/5/21,STR 0-150,1,2% piperine,0,2.25,0,4,0,0,0,0,6.25,0.7675,0.5584
11/5/21,STR 0-150,2,2% piperine,0,0.75,1.25,0,0,0,0,0,2,0.525,0.341
11/5/21,STR 0-150,3,2% piperine,0,0,0,4,0,0,0,0,4,0.5441,0.4944
11/5/21,STR 0-150,4,2% piperine,0,0.25,0,11.75,0,0,0,0,12,0.576,0.3729
11/5/21,STR 0-150,5,2% piperine,0.25,0.5,0,1.75,0,0,0,0,2.5,0.7053,0.5195
11/5/21,STR 0-150,6,2% piperine,0,0.5,1.75,0,0,0.25,0,0.25,2.75,0.949,0.8684
11/5/21,STR 0-150,7,2% piperine,0,6.5,0,0,0,0,0,0,6.5,0.4052,0.098
11/5/21,STR 0-150,8,2% piperine,0,3.75,0.25,0,0,0,0,0,4,0.5405,0.0932
11/5/21,STR 0-150,9,2% piperine,0,1.75,0,0.25,0,0,0,0,2,0.6249,0.386
11/5/21,STR 0-150,10,2% piperine,0,2,0,0,0,0,0,0,2,0.5185,0.2295
11/5/21,STR 0-150,11,2% piperine,0,0.25,0,0,0,0,0,1.5,1.75,0.5676,0.446
11/5/21,STR 0-150,12,2% piperine,0,1.75,0,0,0,0,0,0,1.75,0.5417,0.389
11/5/21,STR 0-150,13,2% piperine,0,0.25,0,2.25,0,0,0,0,2.5,0.8786,0.7399
11/5/21,STR 0-150,14,2% piperine,0,1.75,0,0.25,0,0,0,0,2,0.4602,0.333
11/5/21,STR 0-150,15,2% piperine,0,1.5,0,5,0,0,0,0,6.5,0.8321,0.62
11/5/21,STR 0-150,16,2% piperine,0,5,4,0,0,0,0,0,9,0.5016,0.1939
11/5/21,STR 0-150,1,2% piplartine,0,1.25,1.25,0,0,0,0,0,2.5,0.6492,0.4745
11/5/21,STR 0-150,2,2% piplartine,0,2,9.25,0,0,0,0,0,11.25,0.4089,0.226
11/5/21,STR 0-150,3,2% piplartine,0,0,11.5,0,0,0,0,0,11.5,0.6257,0.583
11/5/21,STR 0-150,4,2% piplartine,0,0.25,0,2.75,0,0,0,0,3,0.8534,0.6673
11/5/21,STR 0-150,5,2% piplartine,0,0,0,2.25,0,0,0,0,2.25,0.7138,0.5106
11/5/21,STR 0-150,6,2% piplartine,0,2.25,7.5,0,0,1,0,0,10.75,0.7675,0.579
11/5/21,STR 0-150,7,2% piplartine,0,1.75,0,3,0,0,0,0.5,5.25,0.4225,0.263
11/5/21,STR 0-150,8,2% piplartine,0,1,6.5,0,0,0,0,0,7.5,0.5827,0.441
11/5/21,STR 0-150,9,2% piplartine,0,0,4.75,2.5,0,0,0,0,7.25,0.7973,0.691
11/5/21,STR 0-150,10,2% piplartine,0,0.75,0,0,0,0,0,0,0.75,0.4583,0.367
11/5/21,STR 0-150,11,2% piplartine,0,1.75,0,0,0,0,0,0.75,2.5,0.3951,0.24
11/5/21,STR 0-150,12,2% piplartine,0,0,0,1,0,0,0,0,1,0.3844,0.305
11/5/21,STR 0-150,13,2% piplartine,0,0.5,0,3.25,0,0,0,0,3.75,0.5773,0.4728
11/5/21,STR 0-150,14,2% piplartine,0,0,0,5,0,0,0,0,5,0.5681,0.452
11/5/21,STR 0-150,15,2% piplartine,0,0.25,0,10,0,0,0,0,10.25,0.3398,0.1844
11/5/21,STR 0-150,16,2% piplartine,0,2.5,0.5,0,0,0,0,0,3,0.2256,0.0642
11/5/21,STR 0-150,1,Ethanol,0,0.25,7,0,0,0,0,0,7.25,0.9191,0.771
11/5/21,STR 0-150,2,Ethanol,0,0.25,0.75,0,0,0,0,0,1,0.3132,0.2549
11/5/21,STR 0-150,3,Ethanol,0,0,2.25,0,0,0,0,1.25,3.5,0.3683,0.3027
11/5/21,STR 0-150,4,Ethanol,0,0,0,9.75,0,0,0,0,9.75,0.6597,0.5084
11/5/21,STR 0-150,5,Ethanol,0,0,0,0.25,0,0,1,0,1.25,0.6047,0.3805
11/5/21,STR 0-150,6,Ethanol,0,0,13,0,0,0,0,0,13,0.7711,0.6219
11/5/21,STR 0-150,7,Ethanol,0,0,0,8.75,0,0,0,0,8.75,0.4392,0.372
11/5/21,STR 0-150,8,Ethanol,0,0.25,0,5.75,0,0,0,0,6,1.4671,1.302
11/5/21,STR 0-150,9,Ethanol,0,0.25,0,2.25,0,0,0,0,2.5,0.5924,0.463
11/5/21,STR 0-150,10,Ethanol,0,4.25,0,0,0,0,0,0,4.25,0.5384,0.221
11/5/21,STR 0-150,11,Ethanol,0,0,0,0,0.25,0,0,14.75,15,0.6504,0.5207
11/5/21,STR 0-150,12,Ethanol,0,3.25,0,0,0,0,0,0,3.25,0.4967,0.221
11/5/21,STR 0-150,13,Ethanol,0.5,0.5,0,5.75,0,0,0,0,6.75,0.5845,0.4697
11/5/21,STR 0-150,14,Ethanol,0,0.5,1,0,0,0,0,0,1.5,0.4961,0.391
11/5/21,STR 0-150,15,Ethanol,0,0,0,9,0,0,0,0,9,0.5893,0.485
11/5/21,STR 0-150,16,Ethanol,0,0.75,14.25,0,0,0,0,0,15,0.3287,0.2317
